gender,eng,count,pr_fa,abjad,pr_en,origin,civil_registration_approved
پسر,habil,,هابیل,48,habil,عبری,نامشخص
پسر,hadan,,هادان,61,hadan,عبری,نامشخص
پسر,hakha,,هخا,606,hakha,فارسی,نامشخص
پسر,huban,,هوبان,64,huban,فارسی,نامشخص
دختر,horokh,,هورخ,811,horokh,فارسی,نامشخص
دختر,hur,101,هور,211,hur,اوستایی,تایید شده
دختر,hizan,,هیزان,73,hizan,کردی,نامشخص
دختر,hilmi,,هیلمی,95,hilmi,لری,نامشخص
دختر,hilnaz,,هیلناز,103,hilnaz,لری,نامشخص
دختر,himo,,هیمو,61,himo,کردی,نامشخص
دختر,hina,,هینا,66,hina,کردی,نامشخص
پسر,hamer,,هامر,246,hamer,عربی,نامشخص
پسر,hamoyeh,,هامویه,67,hamoye,فارسی,نامشخص
پسر,hami,,هامی,56,hami,فارسی,نامشخص
پسر,hanu,,هانو,62,hanu,کردی,نامشخص
پسر,hatra,,هترا,606,hatra,لاتین,نامشخص
دختر,mahlin,,ماهلین,136,mahlin,فارسی,نامشخص
پسر,mohammadhossein,444314,محمدحسين,220,mhoseyn,عربی,تایید شده
پسر,mohammadtaha,188648,محمدطاها محمدطه,108,mtāhā,عربی,تایید شده
پسر,mah yar,39097,مهيار,256,mah yār,فارسی,تایید شده
پسر,mohammadsadra,29360,محمدصدرا,387,msadrā,عربی,تایید شده
پسر,mahan,90112,ماهان,97,māhān,فارسی,تایید شده
پسر,mahdyar,24750,مهديار,260,mahdyār,"فارسی , عربی",تایید شده
پسر,masiha,4358,مسيحا,119,masihā,"فارسی , عربی",تایید شده
پسر,meh rad,17425,مهراد,250,meh rād,فارسی,تایید شده
پسر,mahur,3693,ماهور,252,māhur,فارسی,تایید شده
دختر,mersana,,مرسانا,352,Mersānā,عبری,نامشخص
دختر,mohanna,30366,مهنا,96,mohannā,عربی,تایید شده
پسر,mohammadyasin,41993,محمدياسين,223,myāsin,عربی,تایید شده
پسر,mohammad,2623649,محمد,92,mohammad,عربی,تایید شده
دختر,mehrsa,27892,مهرسا,306,msā,فارسی,تایید شده
پسر,mikaeil,29513,ميکائيل,121,mikāeil,عبری,تایید شده
دختر,maneli,3670,مانلی,131,māneli,مازندرانی,تایید شده
دختر,mah yas,2592,مهياس,116,mah yās,فارسی,تایید شده
پسر,mehrsam,13854,مهرسام,346,msām,فارسی,تایید شده
دختر,melika,88413,مليکا,101,melikā,یونانی,تایید شده
پسر,mah bod,5297,مهبد,51,mah bod,فارسی,تایید شده
پسر,mohammadreza,945630,محمدرضا,1093,mrezā,عربی,تایید شده
پسر,mohammadmatin,38097,محمدمتين,592,mmatin,عربی,تایید شده
دختر,mahda,2266,مهدا,50,mahdā,عربی,تایید شده
دختر,mahya,61270,محيا,59,mahyā,عربی,تایید شده
دختر,melorin,1965,ملورین,336,melorin,فارسی,تایید شده
دختر,mehrsana,,مهرسانا,357,mehrsana,فارسی,نامشخص
پسر,masih,11045,مسيح,118,masih,عبری,تایید شده
پسر,mersad,9125,مرصاد,335,mersād,عربی,تایید شده
دختر,mahdis,46825,مهديس,119,mahdis,فارسی,تایید شده
پسر,makan,3873,ماکان,112,mākān,"فارسی , عربی",تایید شده
پسر,mohammadamin,238200,محمدامين,193,mamin,عربی,تایید شده
پسر,mohammadmahdi,306340,محمدمهدي,151,mmahdi,عربی,تایید شده
دختر,mahoora,,ماهورا,253,mahoora,کردی,نامشخص
پسر,mohammadparsa,45395,محمدپارسا,356,mpārsā,"فارسی , عربی",تایید شده
پسر,mahdi,1424402,مهدي,59,mahdi,عربی,تایید شده
دختر,mobina,173647,مبينا,103,mobinā,عربی,تایید شده
پسر,matin,82907,متين,500,matin,عربی,تایید شده
دختر,mohaddese,197306,محدثه,557,mohaddese,عربی,تایید شده
دختر,mahva,,مهوا,52,mahva,فارسی,نامشخص
پسر,mehras,798,مهراس,306,mehrās,عبری,تایید شده
پسر,"mohammadayin , ain",1069,محمدآیینمحمدآئين,163,"māyin , āin","عربی , پهلوی",تایید شده
پسر,mohammadhesam,22247,محمدحسام,201,mhesām,عربی,تایید شده
دختر,maral,25931,مارال,272,mārāl,ترکی,تایید شده
پسر,mohammadjavad,213652,محمدجواد,106,mjavād,عربی,تایید شده
دختر,mahak,6438,ماهک,66,māhak,فارسی,تایید شده
پسر,manyar,,مانیار,302,manyar,فارسی,نامشخص
پسر,martiya,1912,مارتيا,652,mārtiyā,پهلوی,تایید شده
پسر,meeraj,15885,معراج,314,meerāj,عربی,تایید شده
پسر,mohammadsam,8415,محمدسام,193,msām,"فارسی , عربی , اوستایی",تایید شده
پسر,mohammadsobhan,10955,محمدسبحان,213,msobhān,عربی,تایید شده
پسر,miran,2876,ميران,301,mirān,"فارسی , عربی",تایید شده
دختر,maysa,4418,مايسا,112,māysā,ترکی,تایید شده
پسر,matyar,776,ماتیار,652,mātyār,فارسی,تایید شده
پسر,mohammadkiyan,8595,محمدکيان,173,mkiyān,"فارسی , عربی",تایید شده
پسر,mehran,115389,مهران,296,mehrān,فارسی,تایید شده
دختر,maede,130480,مائده,60,māede,عربی,تایید شده
دختر,maryam,1788380,مريم,290,maryam,عبری,تایید شده
دختر,maesume,1253342,معصومه,251,maesume,عربی,تایید شده
دختر,mahisa,,محیصا,149,mahisa,"فارسی , عربی",نامشخص
دختر,manisa,,مانیسا,162,manisa,فارسی,نامشخص
پسر,miaad,5703,ميعاد,125,miaad,عربی,تایید شده
پسر,mohammadarad,1470,محمدآراد,298,mārād,"عربی , اوستایی",تایید شده
پسر,mahziyar,6072,مهزيار,263,mahziyār,فارسی,تایید شده
دختر,mahsan,4264,مهسان,156,mahsān,فارسی,تایید شده
دختر,maniya,14682,مانيا,102,māniyā,یونانی,تایید شده
دختر,mahla,46857,مهلا,76,mahlā,عربی,تایید شده
پسر,mohammadmahan,11424,محمدماهان,189,mmāhān,"فارسی , عربی",تایید شده
دختر,mahdiya,2838,مهدیا,60,mahdiyā,"فارسی , عربی",تایید شده
پسر,mohammadiliya,3190,محمدایلیا,144,miliyā,"فارسی , عربی",تایید شده
پسر,mohammadmehrad,1010,محمدمهراد,342,mmehrād,"فارسی , عربی",تایید شده
پسر,mohammadkasra,5375,محمدکسريمحمدکسرا,373,mkasrā,"فارسی , عربی",تایید شده
پسر,mohammadsaleh,56689,محمدصالح,221,msāleh,عربی,تایید شده
دختر,malisa,18089,مليسا,141,malisā,عربی,تایید شده
پسر,mehrzad,14408,مهرزاد,257,mzād,فارسی,تایید شده
پسر,mazyar,21901,مازيار,259,māzyār,فارسی,تایید شده
پسر,mahdiyar,10963,مهدييار,270,myār,"فارسی , عربی",تایید شده
پسر,mohammadnikan,1110,محمدنيکان,223,mnikān,"فارسی , عربی",تایید شده
پسر,mahed,849,ماهد,50,māhed,عربی,تایید شده
دختر,mahya,21440,مهيا,56,mahyā,"فارسی , اوستایی",تایید شده
دختر,morsa,904,مرسا,301,morsā,عربی,تایید شده
دختر,mahdiye,180657,مهديه,64,mahdiye,عربی,تایید شده
دختر,mah gol,3662,مهگل,95,mah gol,فارسی,تایید شده
دختر,meha,3422,مها,46,mehā,فارسی,تایید شده
پسر,milad,231050,ميلاد,85,milād,عربی,تایید شده
پسر,mohammadsina,6816,محمدسينا,213,msinā,"فارسی , عربی",تایید شده
پسر,mohammadrasul,27935,محمدرسول,388,mrasul,عربی,تایید شده
پسر,mohammadsadegh,80065,محمدصادق,287,msādeq,عربی,تایید شده
پسر,mohammadmeeraj,2585,محمدمعراج,406,mmeerāj,عربی,تایید شده
پسر,mah yad,1158,مهياد,60,mah yād,فارسی,تایید شده
دختر,melodi,3277,ملودی,90,melodi,فرانسوی,تایید شده
دختر,mehra,590,مهرا,246,mehrā,فارسی,تایید شده
دختر,maya,1826,مايا,52,māyā,"اوستایی , یونانی",تایید شده
دختر,medisa,,مدیسا,115,medisa,عبری,نامشخص
دختر,maleka,,ملکا,91,maleka,عربی,نامشخص
پسر,mobin,65970,مبين,102,mobin,عربی,تایید شده
پسر,mohammadpasha,556,محمدپاشا,396,mpāšā,"ترکی , عربی",تایید شده
پسر,mohammadartin,1153,محمدآرتین,753,mārtin,"فارسی , عربی",تایید شده
پسر,mohammadhasan,177646,محمدحسن,210,mhasan,عربی,تایید شده
پسر,mohammadabbas,1480,محمدعباس,225,mabbās,عربی,تایید شده
پسر,mohammadhesan,868,محمدحسان,211,mhesān,عربی,تایید شده
پسر,mehrab,17131,مهراب,248,mehrāb,فارسی,تایید شده
پسر,mani,29647,ماني,101,māni,فارسی,تایید شده
دختر,matina,3736,متينا,501,matinā,عربی,تایید شده
دختر,mohanna,15554,محنا,99,mohannā,عربی,تایید شده
دختر,mah dokht,2128,مهدخت,1049,mah dokht,فارسی,تایید شده
دختر,mahisa,1323,مهيسا,116,mahisā,فارسی,تایید شده
دختر,meh niya,1763,مهنيا,106,meh niyā,فارسی,تایید شده
دختر,melina,,ملینا,131,melina,لاتین,نامشخص
پسر,mojtaba,308333,مجتبي,455,mojtabā,عربی,تایید شده
پسر,moein,41032,معين,170,moein,عربی,تایید شده
پسر,mohammadmasiha,419,محمدمسیحا,211,mmasihā,"عربی , عبری",تایید شده
پسر,mohammadmahdyar,848,محمدمهدیار,352,mmahdyār,"فارسی , عربی",تایید شده
پسر,mohammadariya,1796,محمدآريا,304,māriyā,"فارسی , عربی",تایید شده
پسر,mohammadzaman,4671,محمدزمان,190,mzamān,عربی,تایید شده
پسر,mohammadsoheyl,2445,محمدسهيل,197,msoheyl,عربی,تایید شده
پسر,mohammadfazel,4600,محمدفاضل,1003,mfāzel,عربی,تایید شده
پسر,mohammadmoein,10475,محمدمعين,262,mmoein,عربی,تایید شده
پسر,mohammaderfan,17892,محمدعرفان,493,merfān,عربی,تایید شده
دختر,mahsa,218294,مهسا,106,mahsā,فارسی,تایید شده
دختر,mehrana,3983,مهرانا,297,mehrānā,فارسی,تایید شده
دختر,moravah,6037,مروه,251,moravah,فارسی,تایید شده
پسر,mohammadtiyam,,محمدتیام,543,mtiyam,"لری , عربی",نامشخص
دختر,mehrimah,,مهریماه,301,mehrimah,فارسی,نامشخص
دختر,mahniya,,مهنیا,106,mahniya,فارسی,نامشخص
پسر,miras,,میراث,751,miras,عربی,نامشخص
پسر,mohammadyusof,12802,محمديوسف,248,myuseof,"عربی , عبری",تایید شده
پسر,mohammadarman,854,محمدآرمان,384,mārmān,"فارسی , عربی",تایید شده
پسر,mohammadparham,3601,محمدپرهام,340,mparhām,"فارسی , عربی",تایید شده
پسر,mohammadsepehr,2072,محمدسپهر,359,msepehr,"فارسی , عربی",تایید شده
پسر,mohammadali,508889,محمدعلي,202,mali,عربی,تایید شده
دختر,marziye,481554,مرضيه,1055,marziye,عربی,تایید شده
دختر,mahgol,7923,ماه گل,96,mgol,فارسی,تایید شده
دختر,mahnad,101,مهند,99,mahnad,فارسی,تایید شده
دختر,matina,744,ماتينا,502,mātinā,مازندرانی,تایید شده
دختر,manelia,,مانلیا,132,manelia,مازندرانی,نامشخص
پسر,mohammadtaha,,محمدطه,106,mtaha,عربی,نامشخص
پسر,mohammadyasan,,محمدیاسان,214,myasan,"فارسی , عربی",نامشخص
پسر,mohammadarsalan,755,محمدارسلان,434,marsalān,"ترکی , عربی",تایید شده
پسر,monib,1470,منيب,102,monib,عربی,تایید شده
پسر,misagh,7100,ميثاق,651,misāq,عربی,تایید شده
پسر,moeid,2824,معيد,124,moeid,عربی,تایید شده
پسر,mohammadebrahim,61361,محمدابراهيم,351,mebrāhim,"عربی , عبری",تایید شده
پسر,mohammadfuad,817,محمدفؤاد,183,mfuād,عربی,تایید شده
پسر,martiya,198,مرتيا,651,martiyā,فارسی,تایید شده
دختر,mah ru,1533,مهرو,251,mah ru,فارسی,تایید شده
دختر,mah naz,214883,مهناز,103,mah nāz,فارسی,تایید شده
دختر,mehrnaz,24091,مهرناز,303,mnāz,فارسی,تایید شده
دختر,motahhare,44094,مطهره,259,motahhare,عربی,تایید شده
دختر,maysa,1590,ميسا,111,maysā,عربی,تایید شده
دختر,mehrana,1141,مهرآنا,297,mānā,"ترکی , فارسی",تایید شده
دختر,mahnila,101,ماهنیلا,137,mnilā,"فارسی , سانسکریت",تایید شده
دختر,mehrgan,1300,مهرگان,316,mehregān,فارسی,تایید شده
دختر,mah ta,9191,مهتا مه تا,446,mah tā,فارسی,تایید شده
پسر,mohammadkasra,,محمدکسری,382,mkasra,"فارسی , عربی",نامشخص
پسر,mohammadmakan,,محمدماکان,204,mmakan,"فارسی , عربی",نامشخص
پسر,mortaza,420224,مرتضي,1450,mortazā,عربی,تایید شده
پسر,moheb,994,محب,50,mohebb,عربی,تایید شده
پسر,mahdireza,923,مهدی رضا,1060,mrezā,عربی,تایید شده
پسر,mohammadtaregh,2179,محمدطارق,402,mtāreq,عربی,تایید شده
پسر,mohammademad,1765,محمدعماد,207,memād,عربی,تایید شده
پسر,majed,7464,ماجد,48,mājed,عربی,تایید شده
پسر,mohammadermiya,868,محمدارميا,344,mermiyā,"عربی , عبری",تایید شده
پسر,mohammadrastin,521,محمدراستين,813,mrāstin,"فارسی , عربی",تایید شده
پسر,mohammadmahyar,2118,محمدمهيار,348,mmahyār,"فارسی , عربی",تایید شده
پسر,mohammadyazdan,1329,محمدیزدان,164,myazdān,"فارسی , عربی",تایید شده
پسر,milan,740,ميلان,131,milān,عربی,تایید شده
پسر,mohammadiman,1683,محمدايمان,194,mimān,عربی,تایید شده
پسر,mohammadtaher,11637,محمدطاهر,307,mtāher,عربی,تایید شده
پسر,mohammadfarhan,686,محمدفرحان,431,mfarhān,عربی,تایید شده
پسر,mohammadnabi,11677,محمدنبی,154,mnabi,عربی,تایید شده
پسر,mohammadhadi,42155,محمدهادي,112,mhādi,عربی,تایید شده
پسر,mehrbod,1802,مهربد,251,mbod,فارسی,تایید شده
دختر,mahru,1608,ماهرو,252,mru,فارسی,تایید شده
دختر,mariya,16862,ماريا,252,māriyā,عبری,تایید شده
دختر,mahni,321,ماهنی,106,māhni,ترکی,تایید شده
دختر,meshkat,1445,مشکات,761,meškāt,عربی,تایید شده
دختر,mahdokht,807,ماهدخت,1050,mdokht,فارسی,تایید شده
دختر,mehrniya,833,مهرنيا,306,mniyā,فارسی,تایید شده
دختر,mahasta,294,مهستا,506,maehaestā,اوستایی,تایید شده
دختر,minu,18662,مينو,106,minu,فارسی,تایید شده
دختر,marina,2509,مارينا,302,mārinā,فارسی,تایید شده
پسر,makvan,,ماکوان,118,makvan,کردی,نامشخص
دختر,melorina,,ملورینا,337,melorina,فارسی,نامشخص
دختر,miral,,میرال,281,miral,هندی,نامشخص
دختر,mahi,,ماهی,56,mahi,فارسی,نامشخص
دختر,mehr yana,,مهریانا,307,mehr yana,"فارسی , اوستایی",نامشخص
پسر,mohammadsedis,,محمدسدیس,226,msedis,عربی,نامشخص
پسر,mohsen,550828,محسن,158,mohsen,عربی,تایید شده
پسر,moeid reza,170,معيدرضا,1125,moeid rezā,عربی,تایید شده
پسر,mohammadmasih,1016,محمدمسيح,210,mmasih,"عربی , عبری",تایید شده
پسر,mohammadmikail,464,محمدميکائيل,213,mmikāil,"عربی , عبری",تایید شده
پسر,mohammadarvin,596,محمدآروین,359,mārvin,"فارسی , عربی",تایید شده
پسر,mohammadariyan,1172,محمدآرین,353,māriyan,"فارسی , عربی",تایید شده
پسر,mohammadkomeyl,981,محمدکميل,192,mkomeyl,عربی,تایید شده
پسر,mohammadmobin,10673,محمدمبين,194,mmobin,عربی,تایید شده
پسر,mohammadmojtaba,1487,محمدمجتبی,547,mmojtabā,عربی,تایید شده
پسر,mohammadmohsen,4764,محمدمحسن,250,mmohsen,عربی,تایید شده
پسر,mohammadmostafa,5792,محمدمصطفی,321,mmostafā,عربی,تایید شده
پسر,mohammadmoeez,123,محمدمعز,209,mmoeezz,عربی,تایید شده
پسر,mohammadmeysam,804,محمد ميثم,682,mmeysam,عربی,تایید شده
پسر,mohammadmiead,494,محمدميعاد,217,mmieād,عربی,تایید شده
دختر,mantara,301,مانترا,692,māntarā,اوستایی,تایید شده
دختر,mahakan,585,ماهکان,117,māhakān,فارسی,تایید شده
دختر,mastane,6075,مستانه,556,mastāne,فارسی,تایید شده
پسر,mohammadsurena,,محمدسورنا,409,msurena,"فارسی , عربی",نامشخص
دختر,mahvin,,ماهوین,112,mahvin,فارسی,نامشخص
پسر,musa,158687,موسي,116,musā,"عربی , عبری",تایید شده
پسر,mohammadyashar,982,محمدیاشار,604,myāšār,"ترکی , عربی",تایید شده
پسر,mohammademran,1380,محمدعمران,453,memrān,"عربی , عبری",تایید شده
پسر,mesbah,873,مصباح,141,mesbāh,عربی,تایید شده
پسر,mansur,163034,منصور,386,mansur,عربی,تایید شده
پسر,mostafa,419835,مصطفي,229,mostafā,عربی,تایید شده
پسر,moeez,403,معز,117,moeezz,عربی,تایید شده
پسر,malek,16529,مالک,91,mālek,عربی,تایید شده
پسر,meysam,160207,ميثم,590,meysam,عربی,تایید شده
پسر,moshtagh,873,مشتاق,841,moštāq,عربی,تایید شده
پسر,mohammadershad,101,محمدارشاد,598,meršād,عربی,تایید شده
پسر,mohammadpuyan,741,محمدپویان,161,mpuyān,"فارسی , عربی",تایید شده
پسر,mohammadamir,6994,محمدامير,343,mamir,عربی,تایید شده
پسر,mohammadborhan,539,محمدبرهان,350,mborhān,عربی,تایید شده
پسر,mohammadhafez,2297,محمدحافظ,1081,mhāfez,عربی,تایید شده
پسر,mohammadrauf,2702,محمدرئوف,388,mrauf,عربی,تایید شده
پسر,mohammadsalah,216,محمدصلاح,221,msalāh,عربی,تایید شده
پسر,mehdad,1649,مهداد,54,mehdād,فارسی,تایید شده
پسر,madyar,1183,ماديار,256,mādyār,فارسی,تایید شده
پسر,mahbod,168,ماهبد,52,māhbod,فارسی,تایید شده
پسر,mehrdad,129873,مهرداد,254,mdād,فارسی,تایید شده
پسر,mardin,7515,ماردين,305,mārdin,کردی,تایید شده
پسر,mohammadbagher,69385,محمدباقر,395,mbāqer,عربی,تایید شده
دختر,meh zad,1946,مهزاد,57,meh zād,فارسی,تایید شده
دختر,mahnegar,168,مه نگار,316,mahnegār,مازندرانی,تایید شده
دختر,muzhan,2569,موژان,97,mužān,فارسی,تایید شده
دختر,morva,2630,مروا,247,morvā,فارسی,تایید شده
دختر,mahan,892,مهان,96,mahān,فارسی,تایید شده
دختر,mah asa,122,مهآسا,107,mah āsā,فارسی,تایید شده
دختر,mahvin,246,مهوين,111,mahvin,فارسی,تایید شده
دختر,mahdisa,2326,مهديسا,120,mahdisā,فارسی,تایید شده
دختر,mahina,101,مهینا,106,mahinā,فارسی,تایید شده
دختر,mandana,18734,ماندانا,147,māndānā,فارسی,تایید شده
دختر,mahtaban,2073,ماهتابان,500,mtābān,فارسی,تایید شده
دختر,mehrban,5900,مهربان,298,mehrabān,فارسی,تایید شده
دختر,mina,227037,مينا,101,minā,فارسی,تایید شده
دختر,mozhgan,124602,مژگان,111,možegān,فارسی,تایید شده
دختر,mozhde,30421,مژده,49,možde,فارسی,تایید شده
پسر,mehrain,371,مهرآيين,316,māin,فارسی,تایید شده
دختر,mariana,,ماریانا,303,mariana,لاتین,نامشخص
دختر,mahtisa,,ماهتیسا,517,mahtisa,"فارسی , مازندرانی",نامشخص
دختر,mahnur,,ماهنور,302,mahnur,"فارسی , عربی",نامشخص
پسر,mohammadarsam,,محمدآرسام,394,marsam,"فارسی , عربی",نامشخص
پسر,mohammadrafe,,محمدرافع,443,mrafe,عربی,نامشخص
پسر,mohammadkaren,,محمدکارن,363,mkaren,"فارسی , عربی",نامشخص
پسر,mohammadmanan,,محمدمنان,233,mmanan,عربی,نامشخص
دختر,merila,,مریلا,281,merila,عبری,نامشخص
دختر,minel,,مینل,130,minel,ترکی,نامشخص
دختر,manika,,مانیکا,122,manika,فارسی,نامشخص
دختر,mahdel,,مهدل,79,mahdel,فارسی,نامشخص
دختر,mehravin,,مهر آوین,312,mavin,"کردی , فارسی",نامشخص
دختر,mahsamin,,ماه ثمین,646,mahsamin,"فارسی , عربی",نامشخص
پسر,mohammadnoyan,,محمد نویان,209,mohammadnoyan,عربی,نامشخص
دختر,masal,,ماسال,132,masal,ترکی,نامشخص
پسر,mohammadzabir,,محمدزبیر,311,mzabir,عربی,نامشخص
پسر,mohammadarta,,محمد آرتا,694,marta,"فارسی , عربی",نامشخص
پسر,mohammadayhan,,محمد آیهان,159,mayhan,"ترکی , عربی",نامشخص
پسر,mohammadliam,,محمد لیام,173,mliam,"فارسی , عربی",نامشخص
پسر,mehrshad,19562,مهرشاد,550,mšād,فارسی,تایید شده
پسر,mohammadramtin,223,محمدرامتین,793,mrāmtin,"فارسی , عربی",تایید شده
پسر,mohammadrohham,1580,محمدرهام,338,mrohhām,"فارسی , عربی",تایید شده
پسر,maed,132,مائد,55,māed,عربی,تایید شده
پسر,mosayyeb,18551,مسيب,112,mosayyeb,عربی,تایید شده
پسر,mohammadisa,4032,محمدعیسی,242,misā,"عربی , عبری",تایید شده
پسر,mohammadyahya,800,محمديحيي,130,myahyā,"عربی , عبری",تایید شده
پسر,mohammadkazem,24243,محمدکاظم,1053,mkāzem,عربی,تایید شده
پسر,mohammadmehrab,588,محمدمحراب,343,mmehrāb,عربی,تایید شده
دختر,mehraye,101,مهرآیه,261,māye,"فارسی , عربی",تایید شده
دختر,mehr kana,,مهرکانا,317,mehr kana,فارسی,نامشخص
پسر,mahyar,686,ماهيار,257,myār,فارسی,تایید شده
پسر,moshkan,101,مشکان,411,moškān,"فارسی , سانسکریت",تایید شده
پسر,mahraj,382,مهراج,249,mahrāj,سانسکریت,تایید شده
پسر,mohammadhani,874,محمدهانی,158,mhāni,عربی,تایید شده
پسر,maearej,101,معارج,314,maeārej,عربی,تایید شده
پسر,mokhtar,51970,مختار,1241,mokhtār,عربی,تایید شده
پسر,montazer,1012,منتظر,1590,montazer,عربی,تایید شده
پسر,mohammadarshiya,1001,محمدارشيا,604,maršiyā,"فارسی , عربی",تایید شده
پسر,mohammadarmin,1781,محمدآرمين,393,mārmin,"فارسی , عربی",تایید شده
پسر,mohammadpuya,1583,محمدپويا,111,mpuyā,"فارسی , عربی",تایید شده
پسر,mohammadsalar,2929,محمدسالار,384,msālār,"فارسی , عربی",تایید شده
پسر,mohammadsahand,101,محمدسهند,211,msahand,"فارسی , عربی",تایید شده
پسر,mohammadshahrokh,101,محمدشاهرخ,1198,mšāhrokh,"فارسی , عربی",تایید شده
پسر,mohammadshayan,2828,محمدشايان,454,mšāyān,"فارسی , عربی",تایید شده
پسر,mohammadshahruz,101,محمدشهروز,610,mšahruz,"فارسی , عربی",تایید شده
پسر,mohammadkiya,1061,محمدکيا,123,mkiyā,"فارسی , عربی",تایید شده
پسر,mohammadkeyhan,101,محمدکيهان,178,mkeyhān,"فارسی , عربی",تایید شده
پسر,mohammadmahziyar,422,محمدمهزيار,355,mmahziyār,"فارسی , عربی",تایید شده
پسر,mohammadtaghi,91208,محمدتقي,602,mtaqi,عربی,تایید شده
پسر,mohammadmokhtar,211,محمدمختار,1333,mmokhtār,عربی,تایید شده
پسر,mohammadmorteza,593,محمدمرتضی,1542,mmortezā,عربی,تایید شده
پسر,mohammadmersad,1412,محمدمرصاد,427,mmersād,عربی,تایید شده
پسر,mohammadmisagh,646,محمدمیثاق,743,mmisāq,عربی,تایید شده
پسر,mohammadhatef,443,محمدهاتف,578,mhātef,عربی,تایید شده
پسر,mehrtash,350,مهرتاش,946,mtāš,"ترکی , فارسی",تایید شده
پسر,mazhan,155,ماژان,92,māžān,کردی,تایید شده
دختر,mehrasa,3353,مهرآسا,307,māsā,فارسی,تایید شده
دختر,mahvan,101,مهوان,102,mahvān,فارسی,تایید شده
دختر,marjan,86401,مرجان,294,marjān,عربی,تایید شده
دختر,maham,101,مهام,86,mahām,عربی,تایید شده
دختر,mohayya,101,محيا,59,mohayyā,عربی,تایید شده
دختر,mansure,106762,منصوره,391,mansure,عربی,تایید شده
دختر,maheila,899,مهیلا,86,maheilā,عربی,تایید شده
دختر,mahnaz,3949,ماهناز,104,mnāz,فارسی,تایید شده
دختر,mahin,886,ماهين,106,māhin,فارسی,تایید شده
دختر,mahana,760,ماهانا,98,māhānā,فارسی,تایید شده
دختر,mah nur,740,مهنور,301,mah nur,فارسی,تایید شده
دختر,mehrsima,101,مهرسیما,356,msimā,"فارسی , عربی",تایید شده
دختر,mehryar,101,مهريار,456,myār,فارسی,تایید شده
دختر,mehri,148248,مهري,255,mehri,فارسی,تایید شده
دختر,minaz,101,میناز,108,mināz,"فارسی , گیلکی",تایید شده
دختر,mahtab,68929,مهتاب,448,mahtāb,فارسی,تایید شده
دختر,muna,34686,مونا,97,munā,"فارسی , عربی , پهلوی , یونانی",تایید شده
دختر,minoram,,مینورام,347,minoram,فارسی,نامشخص
پسر,matya,,ماتیا,452,matya,فارسی,نامشخص
دختر,matisa,,ماتیسا,512,matisa,فارسی,نامشخص
دختر,marta,,مارتا,642,marta,لاتین,نامشخص
دختر,manida,,مانیدا,106,manida,لری,نامشخص
پسر,mahdad,,ماهداد,55,mahdad,فارسی,نامشخص
دختر,mahzad,,ماهزاد,58,mahzad,فارسی,نامشخص
دختر,mahisa,,ماهیسا,117,mahisa,فارسی,نامشخص
پسر,mayar,,مایار,252,mayar,فارسی,نامشخص
پسر,mohammadadrin,,محمدآدرین,357,madrin,"فارسی , عربی",نامشخص
پسر,mohammadbarad,,محمدباراد,300,mbarad,"فارسی , عربی",نامشخص
پسر,mohammadtowhid,,محمدتوحید,520,mtowhid,عربی,نامشخص
پسر,mohammadsamyar,,محمدسامیار,404,msamyar,"فارسی , عربی",نامشخص
پسر,mohammadsamir,,محمدسمیر,402,msamir,عربی,نامشخص
دختر,maniyan,,مانیان,152,maniyan,فارسی,نامشخص
دختر,mahgol,,ماهگل,96,mahgol,فارسی,نامشخص
دختر,mahli,,ماهلی,86,mahli,"ترکی , فارسی",نامشخص
پسر,mehrarad,,مهرآراد,451,mehrarad,فارسی,نامشخص
پسر,mehrpoya,,مهرپویا,264,mehrpoya,فارسی,نامشخص
پسر,manad,,ماناد,96,manad,گیلکی,نامشخص
پسر,mehramin,,مهرآمین,346,mamin,"فارسی , عبری",نامشخص
دختر,mansa,,منسا,151,mansa,فارسی,نامشخص
پسر,mohammadtadayyon,,محمد تدین,556,mtadayyon,عربی,نامشخص
پسر,mohammadarhan,,محمد آرهان,349,marhan,"ترکی , عربی",نامشخص
دختر,mah sana,,ماه ثنا,597,msana,"فارسی , عربی",نامشخص
پسر,moharshaammadarsha,,محمد آرشا,594,marsha,"فارسی , عربی",نامشخص
پسر,mohammadbenyamin,614,محمدبنيامين,255,mbenyāmin,"فارسی , عربی",تایید شده
پسر,mohammadpurya,1111,محمدپوریا,311,mpuryā,"فارسی , عربی",تایید شده
پسر,merat,149,مرآت,641,merāt,عربی,تایید شده
پسر,mohannad,1844,مهند,99,mohannad,عربی,تایید شده
پسر,morsal,2665,مرسل,330,morsal,عربی,تایید شده
پسر,mostaean,426,مستعان,621,mostaeān,عربی,تایید شده
پسر,moneem,506,منعم,200,moneem,عربی,تایید شده
پسر,maesum,4977,معصوم,246,maesum,عربی,تایید شده
پسر,moslem,107892,مسلم,170,moslem,عربی,تایید شده
پسر,moddasser,1086,مدثر,744,moddasser,عربی,تایید شده
پسر,mehrab,11244,محراب,251,mehrāb,عربی,تایید شده
پسر,mojahed,2437,مجاهد,53,mojāhed,عربی,تایید شده
پسر,musarreza,12688,موسی الرضا,1148,musarrezā,عربی,تایید شده
پسر,mohammadoveys,990,محمداویس,169,moveys,عربی,تایید شده
پسر,mohammadjabbar,101,محمدجبار,298,mjabbār,عربی,تایید شده
پسر,moweud,1070,موعود,126,moweud,عربی,تایید شده
